reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,East African,East African,Male,Five,Whittier
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Male,One,Cedar Riverside
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Black,Black,Male,Four,Webber/Camden
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,Four,McKinley
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Male,Two,Logan Park
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Black,Black,Male,Five,Lyndale
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Unknown,Black,Female,Four,Near/North
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,East African,East African,Male,Five,Whittier
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,One,Downtown West
Investigative,Suspicious Vehicle (P),RPT-Report,YES,YES,YES,Black,Black,Unknown,One,Elliot Park
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Three,Phillips West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Three,Phillips West
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Unknown,Black,Male,Five,CARAG
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Native American,Female,Four,Near/North
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Unknown,Male,Three,Midtown Phillips
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Female,Four,Hawthorne
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Lind - Bohanon
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Investigative,Suspicious Person (P),RPT-Report,NO,YES,YES,Black,Black,Male,Four,Jordan
Moving Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Hawthorne
Citizen / 9-1-1,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Four,Jordan
Equipment Violation,Suspicious Person (P),SNT-Sent,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),AOK- All OK,NO,YES,YES,Unknown,Black,Male,Two,Como
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Three,Powderhorn Park
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,East African,Male,Two,Nicollet Island/East Bank
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,Four,Webber/Camden
